HashID|Product|SKU|Brand|MPN|Attr
05-01-01-03|SIEMENS 0.37KW 3PH 230V 440 6SE64402UD137AA1|WXW01170663|SIEMENS|6SE6440-2UD13-7AA1|'Heavy Duty Current Rating (A)': '1.2', 'Heavy Duty Type Output HP (Power)': '0.5', 'Heavy Duty Type Output kW (Power)': '0.37', 'IP Rating IEC (Degree of Protection)': 'IP20', 'Light Duty Type Output HP (Power)': '0.5', 'Light Duty Type Output kW (Power)': '0.37', 'Net Weight': '1.3 KG', 'Phase': '3 Phase', 'Supply Voltage': '380/480V', 'Total Depth': '149 MM', 'Total Height': '173 MM', 'Total Width (T)': '73 MM'
05-01-01-03|SIEMENS 0.55KW 3PH 230V 440 6SE64402UD155AA1|WXW01170664|SIEMENS|6SE6440-2UD15-5AA1|'Heavy Duty Current Rating (A)': '1.6', 'Heavy Duty Type Output HP (Power)': '0.75', 'Heavy Duty Type Output kW (Power)': '0.55', 'IP Rating IEC (Degree of Protection)': 'IP20', 'Light Duty Type Output HP (Power)': '0.75', 'Light Duty Type Output kW (Power)': '0.55', 'Net Weight': '1.3 KG', 'Phase': '3 Phase', 'Supply Voltage': '380/480V', 'Total Depth': '149 MM', 'Total Height': '173 MM', 'Total Width (T)': '73 MM'
05-01-01-03|SIEMENS 0.75KW 3PH 400V 440 6SE64402UD175AA1|WXL0291|SIEMENS|6SE6440-2UD17-5AA1|'Heavy Duty Current Rating (A)': '2.1', 'Heavy Duty Type Output HP (Power)': '1', 'Heavy Duty Type Output kW (Power)': '0.75', 'IP Rating IEC (Degree of Protection)': 'IP20', 'Light Duty Type Output HP (Power)': '1', 'Light Duty Type Output kW (Power)': '0.75', 'Net Weight': '1.3 KG', 'Phase': '3 Phase', 'Supply Voltage': '380/480V', 'Total Depth': '149 MM', 'Total Height': '173 MM', 'Total Width (T)': '73 MM'
05-01-01-03|SIEMENS 1.1KW 3PH 415V 440 6SE64402UD211AA1|WXW01170666|SIEMENS|6SE6440-2UD21-1AA1|'Heavy Duty Current Rating (A)': '3', 'Heavy Duty Type Output HP (Power)': '1.5', 'Heavy Duty Type Output kW (Power)': '1.1', 'IP Rating IEC (Degree of Protection)': 'IP20', 'Light Duty Type Output HP (Power)': '1.5', 'Light Duty Type Output kW (Power)': '1.1', 'Net Weight': '1.3 KG', 'Phase': '3 Phase', 'Supply Voltage': '380/480V', 'Total Depth': '149 MM', 'Total Height': '173 MM', 'Total Width (T)': '73 MM'
05-01-01-03|SIEMENS 1.5KW 3PH 415V 440 6SE64402UD215AA1|WXL0293|SIEMENS|6SE6440-2UD21-5AA1|'Heavy Duty Current Rating (A)': '4', 'Heavy Duty Type Output HP (Power)': '2', 'Heavy Duty Type Output kW (Power)': '1.5', 'IP Rating IEC (Degree of Protection)': 'IP20', 'Light Duty Type Output HP (Power)': '2', 'Light Duty Type Output kW (Power)': '1.5', 'Net Weight': '1.3 KG', 'Phase': '3 Phase', 'Supply Voltage': '380/480V', 'Total Depth': '149 MM', 'Total Height': '173 MM', 'Total Width (T)': '73 MM'
05-01-01-03|SIEMENS 11KW 3PH 415V 440 6SE64402UD311CA1|WXL0299|SIEMENS|6SE6440-2UD31-1CA1|'Heavy Duty Current Rating (A)': '26', 'Heavy Duty Type Output HP (Power)': '15', 'Heavy Duty Type Output kW (Power)': '11', 'IP Rating IEC (Degree of Protection)': 'IP20', 'Light Duty Current Rating (A)': '32', 'Light Duty Type Output HP (Power)': '20', 'Light Duty Type Output kW (Power)': '15', 'Net Weight': '5.5 KG', 'Phase': '3 Phase', 'Supply Voltage': '380/480V', 'Total Depth': '195 MM', 'Total Height': '245 MM', 'Total Width (T)': '185 MM'
05-01-01-03|SIEMENS 15KW 3PH 415V 440 6SE64402UD315DA1|WXW01170674|SIEMENS|6SE6440-2UD31-5DA1|'Heavy Duty Current Rating (A)': '32', 'Heavy Duty Type Output HP (Power)': '20', 'Heavy Duty Type Output kW (Power)': '15', 'IP Rating IEC (Degree of Protection)': 'IP20', 'Light Duty Current Rating (A)': '38', 'Light Duty Type Output HP (Power)': '25', 'Light Duty Type Output kW (Power)': '18.5', 'Net Weight': '16 KG', 'Phase': '3 Phase', 'Supply Voltage': '380/480V', 'Total Depth': '245 MM', 'Total Height': '520 MM', 'Total Width (T)': '275 MM'
05-01-01-03|SIEMENS 18.5KW 3PH 415V 440 6SE64402UD318DA1|WXW01170675|SIEMENS|6SE6440-2UD31-8DA1|'Heavy Duty Current Rating (A)': '38', 'Heavy Duty Type Output HP (Power)': '25', 'Heavy Duty Type Output kW (Power)': '18.5', 'IP Rating IEC (Degree of Protection)': 'IP20', 'Light Duty Current Rating (A)': '45', 'Light Duty Type Output HP (Power)': '30', 'Light Duty Type Output kW (Power)': '22', 'Net Weight': '16 KG', 'Phase': '3 Phase', 'Supply Voltage': '380/480V', 'Total Depth': '245 MM', 'Total Height': '520 MM', 'Total Width (T)': '275 MM'
05-01-01-03|SIEMENS 22KW 3PH 415V 440 6SE64402UD322DA1|WXW01170676|SIEMENS|6SE6440-2UD32-2DA1|'Heavy Duty Current Rating (A)': '45', 'Heavy Duty Type Output HP (Power)': '30', 'Heavy Duty Type Output kW (Power)': '22', 'IP Rating IEC (Degree of Protection)': 'IP20', 'Light Duty Current Rating (A)': '62', 'Light Duty Type Output HP (Power)': '40', 'Light Duty Type Output kW (Power)': '30', 'Net Weight': '16 KG', 'Phase': '3 Phase', 'Supply Voltage': '380/480V', 'Total Depth': '245 MM', 'Total Height': '520 MM', 'Total Width (T)': '275 MM'
05-01-01-03|SIEMENS 30KW 3PH 415V 440 6SE64402UD330EA1|WXW01209183|SIEMENS|6SE6440-2UD33-0EA1|'Heavy Duty Current Rating (A)': '62', 'Heavy Duty Type Output HP (Power)': '40', 'Heavy Duty Type Output kW (Power)': '30', 'IP Rating IEC (Degree of Protection)': 'IP20', 'Light Duty Current Rating (A)': '75', 'Light Duty Type Output HP (Power)': '50', 'Light Duty Type Output kW (Power)': '37', 'Net Weight': '20 KG', 'Phase': '3 Phase', 'Supply Voltage': '380/480V', 'Total Depth': '245 MM', 'Total Height': '650 MM', 'Total Width (T)': '275 MM'
