HashID|Product|SKU|Brand|MPN|Attr
07-01-01-01|ACTION SEALTITE 4 TANKER SER TAIL MS TANK400ST-MS|WXF1272|Action Sealtite|TANK400ST-MS|
07-01-01-01|SMC 5 PORT SOLENOID VALVE SV2100-5FUD|WXW03056545|SMC PNEUMATICS|SV2100-5FUD|
07-01-01-01|SMC 5 PORT VALVE UNIT SV1400-5FU|WXW02155224|SMC PNEUMATICS|SV1400-5FU|
07-01-01-01|SMC 5/3 SOLENOID VALVE 24VDC SV1500-5FU|WXW03065879|SMC PNEUMATICS|SV1500-5FU|
07-01-16|LEGRIS 0654-00-13 BLOW GUN|WXF7546|LEGRIS|0654 00 13|'Body Material': 'Polymer', 'Connection Thread Size': 'G1/4 BSPP', 'Input Connection Type': 'Bottom Entry', 'Maximum Ambient Temperature (°C)': '50', 'Maximum Working Pressure (Bar)': '10', 'Minimum Ambient Temperature (°C)': '-15', 'Net Weight': '0.189 KG'
07-01-16|LEGRIS BLOW GUN 0659-00-13|WXF7547|LEGRIS|0659 00 13|'Colour': 'Blue', 'Connection Thread Size': 'G1/4 BSPP', 'Input Connection Type': 'Bottom Entry', 'Maximum Working Pressure (Bar)': '10', 'Net Weight': '0.072 KG'
07-01-16|NORGREN METAL BLOW GUN BG4000|WXW00746992|NORGREN|BG4000|'Maximum Working Pressure (Bar)': '10', 'Net Weight': '0.0857 KG'
07-01-16|NORGREN PLASTIC BLOW GUN BG5000|WXW00642145|NORGREN|BG5000|'Maximum Working Pressure (Bar)': '10', 'Net Weight': '0.08 KG'
07-01-16|SILVENT LONG TRIGGERED AIR GUN 007-P|WXF10814|SILVENT|007-P|'Body Material': 'Polyether ether ketone (PEEK)', 'Connection Thread Size': 'G1/4 BSPP', 'Maximum Ambient Temperature (°C)': '70', 'Maximum Working Pressure (Bar)': '7', 'Maximum Working Pressure (psi)': '100', 'Net Weight': '0.163 KG', 'Sound Level (Max)': '79 dB(A)'
07-01-16|SMC BLOW DOWN GUN VMG11W-02-04|WXW02035325|SMC PNEUMATICS|VMG11W-02-04|'Net Weight': '0.22 KG'
07-01-16|SMC BLOW GUN + NOZZLE 2MM VMG11BU-F02-13|WXW02868481|SMC PNEUMATICS|VMG11BU-F02-13|'Body Material': 'Plastic (PBT)', 'Colour': 'Dark Blue', 'Input Connection Type': 'Bottom Entry', 'Maximum Ambient Temperature (°C)': '60', 'Maximum Working Pressure (Bar)': '10', 'Minimum Ambient Temperature (°C)': '-5', 'Net Weight': '0.21 KG', 'Port Size': 'G1/4 BSPP'
07-01-16|SMC BLOW GUN 1/4 BSP VMG11BU-02-02|WXW01894132|SMC PNEUMATICS|VMG11BU-02-02|'Net Weight': '0.192 KG'
07-01-16|SMC BLOW GUN G1/4 WITH DARK BLUE BODY + BOTTOM PIPING ENTRY + 2MM MALE NOZZLE DIAM VMG11BU-F02-03|WXW01898877|SMC PNEUMATICS|VMG11BU-F02-03|'Colour': 'Blue', 'Input Connection Type': 'Bottom Entry', 'Net Weight': '180 GRM', 'Port Size': 'G1/4 BSPP'
07-01-16|SMC BLOW GUN VMG11BU-02-13|WXW03401711|SMC PNEUMATICS|VMG11BU-02-13|'Net Weight': '0.21 KG'
07-01-16|SMC BLOW GUN VMG11BU-02-33|WXW01692047|SMC PNEUMATICS|VMG11BU-02-33|'Net Weight': '0.655 KG'
07-01-16|SMC BLOW GUN VMG11BU-F02-32|WXW01924878|SMC PNEUMATICS|VMG11BU-F02-32|'Net Weight': '0.247 KG'
07-01-16|SMC BLOW GUN VMG11W-F02|WXF5462|SMC PNEUMATICS|VMG11W-F02|'Body Material': 'Plastic (PBT)', 'Colour': 'White', 'Input Connection Type': 'Bottom Entry', 'Maximum Ambient Temperature (°C)': '60', 'Maximum Working Pressure (Bar)': '10', 'Minimum Ambient Temperature (°C)': '-5', 'Net Weight': '0.181 KG', 'Port Size': 'G1/4 BSPP'
07-01-16|SMC BLOW GUN VMG12BU-F02|WXF5464|SMC PNEUMATICS|VMG12BU-F02|'Net Weight': '0.2 KG'
07-01-16|SMC BLOW GUN VMG12W-F02|WXF5466|SMC PNEUMATICS|VMG12W-F02|'Net Weight': '0.2 KG'
07-01-16|SMC ENERGY SAVING BLOW GUN VMG11BU-02-03|WXW01529115|SMC PNEUMATICS|VMG11BU-02-03|'Net Weight': '0.208 KG'
07-01-16|SMC VMG11BU-F02-03 BLOW GUN|WXF5460|SMC PNEUMATICS|VMG11BU-F02|'Body Material': 'Plastic (PBT)', 'Colour': 'Dark Blue', 'Input Connection Type': 'Bottom Entry', 'Maximum Ambient Temperature (°C)': '60', 'Maximum Working Pressure (Bar)': '10', 'Minimum Ambient Temperature (°C)': '-5', 'Net Weight': '165 GRM', 'Port Size': 'G1/4 BSPP'
07-30-30-20|DOSATRON D3RE-5V VF WATER POWERED COOLANT MIXER 0.5 TO 5|WXW03605124|DOSATRON|D3RE-5V VF|'Strength': '0.5% - 5%'
07-30-30-60|SIP PROFESSIONAL SUB 2020SS DIRTY WATER PUMP STAINLESS STEEL 06819|1.01E+11|SIP GROUP|6819|
07-30-30-70|ROEBUCK SPECIALIST ROTARY PUMP RYTON RSR|WXW02943170|ROEBUCK RED|RSR|
07-30-30-99|HARTLE GREASE PUMP OUTFIT 12.5KG|WX106554|HARTLE|BGH125|
07-30-30-99|HARTLE POLYPROPYLENE ROTARY PUMP|WX106572|HARTLE|PP9|
07-30-30-99|HILL TRANSFER PUMP P925|WXW02896959|HILL PUMPS|P925-AAA|
07-30-30-99|HITECH EVOLUTION EVOSYSTEM 3 INCH DIRTY WATER PUMP OUTPUT DWP1000|WXW03836425|EVOLUTION POWER TOOLS|DWP1000|"'Capacity': '8 mm', 'Lift (Max)': '28 m', 'Max Air Flow': '1000 l/min', 'Outside Diameter': '75mm (3"")', 'Total Height': '8 MTR', 'Type(s)': '4-Stroke petrol', 'Wheel Type': '8"" rubber tyres'"
